"GEO_ID","NAME","B19083_001E","B19083_001M"
"id","Geographic Area Name","Estimate!!Gini Index","Margin of Error!!Gini Index"
"0500000US01003","Baldwin County, Alabama","0.4630","0.0232"
"0500000US01015","Calhoun County, Alabama","0.4572","0.0301"
"0500000US01043","Cullman County, Alabama","0.3961","0.0253"
"0500000US01049","DeKalb County, Alabama","0.4459","0.0461"
"0500000US01051","Elmore County, Alabama","0.4468","0.0378"
"0500000US01055","Etowah County, Alabama","0.5008","0.0465"
"0500000US01069","Houston County, Alabama","0.4903","0.0198"
"0500000US01073","Jefferson County, Alabama","0.5041","0.0112"
"0500000US01077","Lauderdale County, Alabama","0.4522","0.0276"
"0500000US01081","Lee County, Alabama","0.5248","0.0339"
"0500000US01083","Limestone County, Alabama","0.4445","0.0284"
"0500000US01089","Madison County, Alabama","0.4534","0.0127"
"0500000US01095","Marshall County, Alabama","0.4465","0.0239"
"0500000US01097","Mobile County, Alabama","0.4585","0.0137"
"0500000US01101","Montgomery County, Alabama","0.4609","0.0207"
"0500000US01103","Morgan County, Alabama","0.4578","0.0232"
"0500000US01115","St. Clair County, Alabama","0.3877","0.0399"
"0500000US01117","Shelby County, Alabama","0.4527","0.0240"
"0500000US01121","Talladega County, Alabama","0.4577","0.0277"
"0500000US01125","Tuscaloosa County, Alabama","0.4823","0.0191"
"0500000US01127","Walker County, Alabama","0.4379","0.0290"
"0500000US02020","Anchorage Municipality, Alaska","0.4426","0.0229"
"0500000US02090","Fairbanks North Star Borough, Alaska","0.4348","0.0307"
"0500000US02170","Matanuska-Susitna Borough, Alaska","0.4125","0.0171"
"0500000US04001","Apache County, Arizona","0.5070","0.0301"
"0500000US04003","Cochise County, Arizona","0.4423","0.0259"
"0500000US04005","Coconino County, Arizona","0.4826","0.0408"
"0500000US04013","Maricopa County, Arizona","0.4542","0.0052"
"0500000US04015","Mohave County, Arizona","0.4214","0.0289"
"0500000US04017","Navajo County, Arizona","0.4509","0.0211"
"0500000US04019","Pima County, Arizona","0.4684","0.0092"
"0500000US04021","Pinal County, Arizona","0.4128","0.0220"
"0500000US04025","Yavapai County, Arizona","0.4447","0.0168"
"0500000US04027","Yuma County, Arizona","0.4531","0.0290"
"0500000US05007","Benton County, Arkansas","0.4645","0.0186"
"0500000US05031","Craighead County, Arkansas","0.4797","0.0418"
"0500000US05045","Faulkner County, Arkansas","0.4774","0.0508"
"0500000US05051","Garland County, Arkansas","0.4697","0.0355"
"0500000US05069","Jefferson County, Arkansas","0.4748","0.0351"
"0500000US05085","Lonoke County, Arkansas","0.4108","0.0291"
"0500000US05119","Pulaski County, Arkansas","0.5020","0.0176"
"0500000US05125","Saline County, Arkansas","0.3870","0.0244"
"0500000US05131","Sebastian County, Arkansas","0.4639","0.0296"
"0500000US05143","Washington County, Arkansas","0.4680","0.0208"
"0500000US05145","White County, Arkansas","0.4633","0.0322"
"0500000US06001","Alameda County, California","0.4621","0.0074"
"0500000US06007","Butte County, California","0.5208","0.0297"
"0500000US06013","Contra Costa County, California","0.4660","0.0112"
"0500000US06017","El Dorado County, California","0.4805","0.0278"
"0500000US06019","Fresno County, California","0.4669","0.0108"
"0500000US06023","Humboldt County, California","0.5115","0.0351"
"0500000US06025","Imperial County, California","0.4579","0.0271"
"0500000US06029","Kern County, California","0.4737","0.0163"
"0500000US06031","Kings County, California","0.4142","0.0206"
"0500000US06033","Lake County, California","0.4762","0.0577"
"0500000US06037","Los Angeles County, California","0.4940","0.0041"
"0500000US06039","Madera County, California","0.4464","0.0361"
"0500000US06041","Marin County, California","0.5322","0.0214"
"0500000US06045","Mendocino County, California","0.4603","0.0305"
"0500000US06047","Merced County, California","0.4402","0.0349"
"0500000US06053","Monterey County, California","0.4490","0.0156"
"0500000US06055","Napa County, California","0.4673","0.0218"
"0500000US06057","Nevada County, California","0.4716","0.0253"
"0500000US06059","Orange County, California","0.4598","0.0053"
"0500000US06061","Placer County, California","0.4375","0.0135"
"0500000US06065","Riverside County, California","0.4513","0.0087"
"0500000US06067","Sacramento County, California","0.4435","0.0076"
