"cty","Name","Household_Income_rP_gP_p25"
"cty46063","Harding County, SD",70996
"cty38011","Bowman County, ND",68611
"cty38037","Grant County, ND",67124
"cty38007","Billings County, ND",67024
"cty38033","Golden Valley County, ND",66268
"cty38025","Dunn County, ND",64829
"cty30109","Wibaux County, MT",63724
"cty31009","Blaine County, NE",63072
"cty46021","Campbell County, SD",62558
"cty38045","LaMoure County, ND",62095
"cty38065","Oliver County, ND",61849
"cty38087","Slope County, ND",61431
"cty46045","Edmunds County, SD",60993
"cty31063","Frontier County, NE",60705
"cty31115","Loup County, NE",60656
"cty38041","Hettinger County, ND",59823
"cty46119","Sully County, SD",59801
"cty38047","Logan County, ND",59573
"cty46043","Douglas County, SD",59505
"cty31149","Rock County, NE",59267
"cty38061","Mountrail County, ND",58521
"cty31085","Hayes County, NE",58361
"cty38089","Stark County, ND",58176
"cty20131","Nemaha County, KS",58094
"cty31027","Cedar County, NE",58062
"cty31091","Hooker County, NE",57874
"cty38013","Burke County, ND",57497
"cty38051","McIntosh County, ND",57392
"cty46067","Hutchinson County, SD",57374
"cty38019","Cavalier County, ND",57335
"cty48235","Irion County, TX",57241
"cty38009","Bottineau County, ND",57202
"cty56011","Crook County, WY",56826
"cty38043","Kidder County, ND",56694
"cty38053","McKenzie County, ND",56383
"cty31077","Greeley County, NE",56327
"cty19119","Lyon County, IA",56192
"cty38001","Adams County, ND",56076
"cty48393","Roberts County, TX",56000
"cty38091","Steele County, ND",55964
"cty27011","Big Stone County, MN",55633
"cty38029","Emmons County, ND",55552
"cty38095","Towner County, ND",55547
"cty38023","Divide County, ND",55207
"cty27155","Traverse County, MN",55101
"cty38063","Nelson County, ND",55101
"cty31011","Boone County, NE",54979
"cty27125","Red Lake County, MN",54718
"cty38075","Renville County, ND",54703
"cty49031","Piute County, UT",54532
"cty20199","Wallace County, KS",54529
"cty19109","Kossuth County, IA",54458
"cty38057","Mercer County, ND",54451
"cty31087","Hitchcock County, NE",54407
"cty19027","Carroll County, IA",54395
"cty46055","Haakon County, SD",54389
"cty20179","Sheridan County, KS",54348
"cty30019","Daniels County, MT",54240
"cty31039","Cuming County, NE",53959
"cty20081","Haskell County, KS",53891
"cty31163","Sherman County, NE",53877
"cty38105","Williams County, ND",53855
